,goal combination,count,pick count
294,"['3 Swords, Tunics, Boots, and Shields', 'Clear 8 Silver Rupee Rooms']",6,1
295,"['Beat the Water Temple', 'Fire Temple Boss Key']",6,1
296,"['3 Swords, Tunics, Boots, and Shields', 'Defeat Queen Gohma']",6,1
297,"['Beat the Water Temple', 'Quiver (50)']",6,2
298,"['All 5 Skulltulas in Shadow Temple', 'Both Rusty Switches in Spirit Temple', 'Sarias Song']",6,1
299,"['Defeat 4 Different Iron Knuckles', 'Forest Temple Boss Key']",6,1
300,"['3 Boots', 'Open All 6 Gold Rupee Chests']",6,1
301,"['10 Songs', '6 Compasses']",6,1
302,"['7 Compasses', 'Water Medallion']",6,1
303,"['All 5 Skulltulas in Fire Temple', 'Defeat Barinade']",6,1
304,"['9 Songs', 'All 5 Skulltulas in Fire Temple']",6,1
305,"['All 3 Skulltulas in Ice Cavern', 'Beat the Spirit Temple']",6,2
306,"['7 Hearts', 'Both Rusty Switches in Spirit Temple']",6,3
307,"['9 Songs', 'Defeat 4 Different Iron Knuckles']",6,2
308,"['4 Skulltulas in Shadow Temple', 'Quiver (50)']",6,1
309,"['8 Hearts (no duping)', '9 Songs']",6,3
310,"['30 Different Skulltulas', '4 Skulltulas in Shadow Temple', 'All 5 Skulltulas in Fire Temple']",6,1
311,"['All 8 Death Mountain area Skulltulas', 'Silver Scale']",6,1
312,"['8 Different Unused Keys in Gerudo Training Grounds', '8 Hearts (no duping)']",6,2
313,"['3 Boots', 'Get to the end of Shadow Trial']",6,3
314,"['3 Shields & 3 Boots', 'Get to the end of Shadow Trial']",6,1
315,"['5 Compasses', 'Beat the Spirit Temple']",6,1
316,"['7 Hearts', 'All 3 Elemental Arrows']",6,1
317,"['10 Songs', 'Map & Compass in Water Temple']",6,2
318,"['Get to the end of Shadow Trial', 'Goron Bracelet']",6,3
319,"['5 Hearts', 'All 5 Lake Hylia Skulltulas']",6,1
320,"['3 Swords, Tunics, Boots, and Shields', 'Open 3 Boss Key Doors']",6,2
321,"['Giants Knife', 'Two Fairy Spells']",6,1
322,"['5 Hearts', 'Goron Bracelet']",6,1
323,"['Clear 10 Silver Rupee Rooms', 'Obtain all 8 Small Keys in Fire Temple']",6,3
324,"['2 Skulltulas in Lon Lon Ranch', '3 Swords, Tunics, Boots, and Shields', '30 Different Skulltulas']",6,1
325,"['30 Different Skulltulas', 'Map & Compass in Forest Temple']",6,1
326,"['3 Shields & 3 Boots', 'Bolero of Fire']",6,1
327,"['1 Skulltula from each Child Dungeon', 'All 5 Skulltulas in Shadow Temple']",6,2
328,"['4 Skulltulas in Shadow Temple', 'Dins Fire']",6,1
329,"['3 Skulltulas in Water Temple', 'Defeat 4 Different Iron Knuckles']",6,1
330,"['3 Swords & 3 Shields', '5 Hearts']",6,1
331,"['4 Skulltulas in Shadow Temple', 'Open All 6 Gold Rupee Chests']",6,1
332,"['7 Different Unused Keys in Gerudo Training Grounds', 'All 5 Skulltulas in Shadow Temple']",6,1
333,"['5 Zora area HPs', 'Get to the end of Shadow Trial']",6,1
334,"['1 Unused Small Key in each Adult Dungeon', 'Fill all 4 Bottle Slots']",6,1
335,"['10 Songs', 'Defeat Barinade']",6,1
336,"['Map & Compass in Bottom of the Well', 'Obtain all 8 Small Keys in Fire Temple']",6,1
337,"['Lens of Truth', 'Quiver (50)']",6,1
338,"['All 5 Lake Hylia Skulltulas', 'Minuet of Forest']",6,1
339,"['3 Swords, Tunics, Boots, and Shields', 'Cow in House']",6,1
340,"['8 Hearts (no duping)', 'Double Defense']",6,1
341,"['9 Hearts (no duping)', 'Open 3 Gold Rupee Chests']",6,1
342,"['3 Skulltulas in Water Temple', 'All 3 Elemental Arrows']",6,1
343,"['8 Hearts (no duping)', 'Quiver (40)']",6,1
344,"['All 3 Elemental Arrows', 'Fire Medallion']",6,2
345,"['3 Shields & 3 Boots', 'All 8 Death Mountain area Skulltulas']",6,1
346,"['All 5 Skulltulas in Fire Temple', 'Exactly 20 Deku Sticks']",6,3
347,"['All 3 Elemental Arrows', 'Ganons Castle Boss Key']",6,1
348,"['All 3 Elemental Arrows', 'Zora Tunic']",6,2
349,"['Clear 10 Silver Rupee Rooms', 'Map & Compass in Bottom of the Well']",6,1
350,"['8 Hearts (no duping)', 'Eponas Song']",6,2
351,"['1 Skulltula from each Adult Dungeon', 'Shadow Temple Boss Key']",6,1
352,"['Dins Fire', 'Shadow Temple Boss Key']",6,1
353,"['All 5 Skulltulas in Fire Temple', 'Quiver (40)']",6,1
354,"['Dins Fire', 'Fairy Slingshot']",6,1
355,"['Bolero of Fire', 'Open All 6 Gold Rupee Chests']",6,1
356,"['3 Shields & 3 Boots', 'All 8 Kakariko area Skulltulas']",6,1
357,"['5 Zora area HPs', 'Quiver (50)']",6,1
358,"['Open All 6 Gold Rupee Chests', 'Spirit Temple Boss Key']",6,1
359,"['1 Skulltula from each Adult Dungeon', '5 Magic Beans', 'All 5 Lake Hylia Skulltulas']",6,1
360,"['7 Different Unused Keys in Gerudo Training Grounds', 'Clear 10 Silver Rupee Rooms']",6,1
361,"['8 Hearts (no duping)', 'All 5 Lake Hylia Skulltulas']",6,1
362,"['3 Skulltulas in Water Temple', 'Lon Lon Ranch HP']",6,1
363,"['3 Shields & 3 Boots', 'Shadow Temple Boss Key']",6,3
364,"['10 Songs', 'Get to the end of Forest Trial']",6,2
365,"['9 Hearts (no duping)', 'Open 5 Gold Rupee Chests']",6,2
366,"['Obtain all 5 Small Keys in Shadow Temple', 'Open 3 Gold Rupee Chests']",6,1
367,"['3 Boots', 'All 3 Elemental Arrows']",6,2
368,"['7 Compasses', '7 Different Unused Keys in Gerudo Training Grounds']",6,1
369,"['Defeat Barinade', 'Quiver (50)']",6,1
370,"['Both Rusty Switches in Spirit Temple', 'Quiver (40)']",6,2
371,"['7 Compasses', 'Spirit Temple Boss Key']",6,1
