goal,count,pick count,win count,pick%,win%,median,sub 1:15,sub 1:15 rate
3 Unused Keys in Gerudo Training Grounds,8,1,1,12.5,100.0,1:11:00,1,100.0
Defeat a Skull Kid,8,1,1,12.5,100.0,1:21:00,0,0.0
Plant 5 Magic Beans,9,1,1,11.1,100.0,1:18:17,0,0.0
Both HPs in Lost Woods,27,3,2,11.1,66.7,1:41:35,0,0.0
All 4 Skulltulas in Deku Tree,9,1,1,11.1,100.0,1:31:17,0,0.0
Win Bombchu Bowling Prize,9,1,0,11.1,0.0,1:36:48,0,0.0
Both Hyrule Field area Skulltulas,10,1,1,10.0,100.0,1:23:55,0,0.0
Map & Compass in Dodongo's Cavern,10,1,0,10.0,0.0,1:56:08,0,0.0
Light Arrows,11,1,1,9.1,100.0,1:22:59,0,0.0
All 8 Kakariko area Skulltulas,12,1,0,8.3,0.0,nan,0,0.0
Ice Arrows,12,1,1,8.3,100.0,1:23:55,0,0.0
Obtain all 5 Small Keys in Forest Temple,13,1,0,7.7,0.0,1:19:09,0,0.0
Get to the end of Spirit Trial,13,1,1,7.7,100.0,1:09:05,1,100.0
Milk,8,0,0,0.0,0.0,nan,0,0.0
Frog's HP,3,0,0,0.0,0.0,nan,0,0.0
Get to the end of Light Trial,5,0,0,0.0,0.0,nan,0,0.0
All 4 Child Skulltulas in Zora's Domain Area,5,0,0,0.0,0.0,nan,0,0.0
3 Songs,4,0,0,0.0,0.0,nan,0,0.0
Both Gerudo Valley HPs,6,0,0,0.0,0.0,nan,0,0.0
All 8 Zora's Domain area Skulltulas,16,0,0,0.0,0.0,nan,0,0.0
3 Lake Hylia Skulltulas,3,0,0,0.0,0.0,nan,0,0.0
Map & Compass in Water Temple,12,0,0,0.0,0.0,nan,0,0.0
6 Songs,3,0,0,0.0,0.0,nan,0,0.0
